"","dsd_n_1","district_n","province_n","EVI_ds"
"1","Addalachchenai","Ampara","Eastern",35466299.6911713
"2","Akurana","Kandy","Central",49222465.2777778
"3","Akuressa","Matara","Southern",50199349.6661898
"4","Agalawatta","Kalutara","Western",48766381.2099359
"5","Badulla","Badulla","Uva",47467014.4927536
"6","Akkaraipattu","Ampara","Eastern",35318236.1241401
"7","Akmeemana","Galle","Southern",48749630.4873296
"8","Balangoda","Rathnapura","Sabaragamuwa",49618030.8930426
"9","Alawwa","Kurunegala","North Western",48198398.1788079
"10","Alayadiwembu","Ampara","Eastern",33399926.0911215
"11","Ambagamuwa","Nuwara Eliya","Central",44077370.6959707
"12","Damana","Ampara","Eastern",44990468.102257
"13","Ambalangoda","Galle","Southern",46999320.7716053
"14","Ambalantota","Hambantota","Southern",42719010.477054
"15","Ambanganga Korale","Matale","Central",52250923.6375158
"16","Ambanpola","Kurunegala","North Western",44495594.4221003
"17","Ampara","Ampara","Eastern",43383965.0596054
"18","Anamaduwa","Puttalam","North Western",43705070.7154742
"19","Angunakolapelessa","Hambantota","Southern",46663723.2840115
"20","Arachchikattuwa","Puttalam","North Western",43457524.1243294
"21","Dehiwala","Colombo","Western",22263278.8535829
"22","Aranayaka","Kegalle","Sabaragamuwa",49153335.4774157
"23","Athuraliya","Matara","Southern",50202598.3796296
"24","Attanagalla","Gampaha","Western",44601824.6527778
"25","Ayagama","Rathnapura","Sabaragamuwa",47683517.7687809
"26","Badalkumbura","Moneragala","Uva",56265101.8099547
"27","Baddegama","Galle","Southern",49468979.2852625
"28","Balapitiya","Galle","Southern",41060080.2883666
"29","Bamunakotuwa","Kurunegala","North Western",47954053.2496782
"30","Bandaragama","Kalutara","Western",42816487.2034956
"31","Bandarawela","Badulla","Uva",48041058.0808081
"32","Beliatta","Hambantota","Southern",53069258.6805556
"33","Delthota","Kandy","Central",47050836.8200837
"34","Bentota","Galle","Southern",44744156.1758296
"35","Beruwala","Kalutara","Western",44059810.858044
"36","Bibile","Moneragala","Uva",47671851.2378426
"37","Eravur Town","Batticaloa","Eastern",31443000
"38","Bingiriya","Kurunegala","North Western",47024868.2297346
"39","Vadamaradchy South-West (Karaveddy)","Jaffna","Northern",26665354.7760978
"40","Biyagama","Gampaha","Western",35927556.8181818
"41","Bope-Poddala","Galle","Southern",44671335.7843137
"42","Delft","Jaffna","Northern",31957706.3443362
"43","Bulathkohupitiya","Kegalle","Sabaragamuwa",48776890.7035176
"44","Bulathsinhala","Kalutara","Western",49064329.1751527
"45","Buttala","Moneragala","Uva",45831697.9242416
"46","Chilaw","Puttalam","North Western",40108244.9382727
"47","Colombo","Colombo","Western",16499488.4575299
"48","Dambulla","Matale","Central",45417401.5932521
"49","Dankotuwa","Puttalam","North Western",44082322.769953
"50","Dehiattakandiya","Ampara","Eastern",40626274.5202309
"51","Dehiovita","Kegalle","Sabaragamuwa",50361271.6629793
"52","Deraniyagala","Kegalle","Sabaragamuwa",45481926.4846743
"53","Devinuwara","Matara","Southern",48131293.3172457
"54","Dickwella","Matara","Southern",50689914.99107
"55","Dimbulagala","Polonnaruwa","North Central",42507525.3651286
"56","Divulapitiya","Gampaha","Western",44742188.6923344
"57","Dodangoda","Kalutara","Western",47873962.2790404
"58","Doluwa","Kandy","Central",47123652.9558405
"59","Kobeigane","Kurunegala","North Western",46494537.1878393
"60","Dompe","Gampaha","Western",46413330.8442851
"61","Eheliyagoda","Rathnapura","Sabaragamuwa",49603972.0149254
"62","Ehetuwewa","Kurunegala","North Western",43993464.3734644
"63","Koralai Pattu (Valachchenai)","Batticaloa","Eastern",32672192.4536387
"64","Elahera","Polonnaruwa","North Central",44785002.2617612
"65","Koralai Pattu Central","Batticaloa","Eastern",34415563.1643096
"66","Elapatha","Rathnapura","Sabaragamuwa",48333754.1050903
"67","Galnewa","Anuradhapura","North Central",45186239.8373984
"68","Ella","Badulla","Uva",50215995.460441
"69","Gomarankadawala","Trincomalee","Eastern",42050673.1341392
"70","Elpitiya","Galle","Southern",48864080.2987862
