"","dsd_n_1","district_n","province_n","ntlt_mean"
"1","Addalachchenai","Ampara","Eastern",0.957985286615485
"2","Akurana","Kandy","Central",0.543609683747058
"3","Akuressa","Matara","Southern",0.0497379954667206
"4","Agalawatta","Kalutara","Western",0.162273877873273
"5","Badulla","Badulla","Uva",0.832367197622227
"6","Akkaraipattu","Ampara","Eastern",1.2514624716714
"7","Akmeemana","Galle","Southern",1.24208431698027
"8","Balangoda","Rathnapura","Sabaragamuwa",0.230586752052729
"9","Alawwa","Kurunegala","North Western",0.205338688781621
"10","Alayadiwembu","Ampara","Eastern",0.45616760456014
"11","Ambagamuwa","Nuwara Eliya","Central",0.163540059661532
"12","Damana","Ampara","Eastern",0.0522161591917796
"13","Ambalangoda","Galle","Southern",0.895301808436365
"14","Ambalantota","Hambantota","Southern",0.410771678919768
"15","Ambanganga Korale","Matale","Central",0.0736855253803008
"16","Ambanpola","Kurunegala","North Western",0.0461590991951913
"17","Ampara","Ampara","Eastern",0.312724583373111
"18","Anamaduwa","Puttalam","North Western",0.0797516426659728
"19","Angunakolapelessa","Hambantota","Southern",0.282775115075649
"20","Arachchikattuwa","Puttalam","North Western",0.568125512572042
"21","Dehiwala","Colombo","Western",14.7469794750214
"22","Aranayaka","Kegalle","Sabaragamuwa",0.0325633078610816
"23","Athuraliya","Matara","Southern",0.0930650800989385
"24","Attanagalla","Gampaha","Western",1.34836877182207
"25","Ayagama","Rathnapura","Sabaragamuwa",0.00653581706236006
"26","Badalkumbura","Moneragala","Uva",0.0147418134384327
"27","Baddegama","Galle","Southern",0.353083626255817
"28","Balapitiya","Galle","Southern",1.04328397997925
"29","Bamunakotuwa","Kurunegala","North Western",0.0749168112300909
"30","Bandaragama","Kalutara","Western",2.14753183853977
"31","Bandarawela","Badulla","Uva",0.349407215943988
"32","Beliatta","Hambantota","Southern",0.435901808492916
"33","Delthota","Kandy","Central",0.13129882263058
"34","Bentota","Galle","Southern",0.852600634277046
"35","Beruwala","Kalutara","Western",1.72019508419487
"36","Bibile","Moneragala","Uva",0.0152750291799343
"37","Eravur Town","Batticaloa","Eastern",6.10333754335131
"38","Bingiriya","Kurunegala","North Western",0.24460752876032
"39","Vadamaradchy South-West (Karaveddy)","Jaffna","Northern",0.74477622532404
"40","Biyagama","Gampaha","Western",7.82614690741749
"41","Bope-Poddala","Galle","Southern",1.67987515793906
"42","Delft","Jaffna","Northern",0.08601443176823
"43","Bulathkohupitiya","Kegalle","Sabaragamuwa",0.0132073363339579
"44","Bulathsinhala","Kalutara","Western",0.144778166412098
"45","Buttala","Moneragala","Uva",0.0578846875239698
"46","Chilaw","Puttalam","North Western",1.06658448511307
"47","Colombo","Colombo","Western",28.8916203442742
"48","Dambulla","Matale","Central",0.23156027522198
"49","Dankotuwa","Puttalam","North Western",1.39359333183483
"50","Dehiattakandiya","Ampara","Eastern",0.0426941219298095
"51","Dehiovita","Kegalle","Sabaragamuwa",0.146102888654799
"52","Deraniyagala","Kegalle","Sabaragamuwa",0.045476773286759
"53","Devinuwara","Matara","Southern",1.05936319589615
"54","Dickwella","Matara","Southern",0.558475398477703
"55","Dimbulagala","Polonnaruwa","North Central",0.0853965341519176
"56","Divulapitiya","Gampaha","Western",1.11334830063569
"57","Dodangoda","Kalutara","Western",0.619730076329275
"58","Doluwa","Kandy","Central",0.118445294351961
"59","Kobeigane","Kurunegala","North Western",0.15465184126609
"60","Dompe","Gampaha","Western",1.19907495414592
"61","Eheliyagoda","Rathnapura","Sabaragamuwa",0.207038441617813
"62","Ehetuwewa","Kurunegala","North Western",0.0616707198431926
"63","Koralai Pattu (Valachchenai)","Batticaloa","Eastern",1.75971291154068
"64","Elahera","Polonnaruwa","North Central",0.0454954380104665
"65","Koralai Pattu Central","Batticaloa","Eastern",1.8247003918237
"66","Elapatha","Rathnapura","Sabaragamuwa",0.0262632412361164
"67","Galnewa","Anuradhapura","North Central",0.0521667946102028
"68","Ella","Badulla","Uva",0.208688543143782
"69","Gomarankadawala","Trincomalee","Eastern",0.0203213859884894
"70","Elpitiya","Galle","Southern",0.185831304072013
"71","Embilipitiya","Rathnapura","Sabaragamuwa",0.287347282686874
"72","Eravur Pattu","Batticaloa","Eastern",0.188717240816994
"73","Koralai Pattu North (Vaharai)","Batticaloa","Eastern",0.119226382011567
"74","Galenbindunuwewa","Anuradhapura","North Central",0.0245552418813945
"75","Gonapeenuwala","Galle","Southern",0.676589344778369
"76","Galewela","Matale","Central",0.217077611198334
"77","Habaraduwa","Galle","Southern",1.61895240785738
"78","Galgamuwa","Kurunegala","North Western",0.0879522074478528
"79","Galigamuwa","Kegalle","Sabaragamuwa",0.140345690846443
"80","Galle Four Gravets","Galle","Southern",4.47213070643576
"81","Gampaha","Gampaha","Western",2.95613373319308
"82","Ganewatta","Kurunegala","North Western",0.0967019593251885
"83","Harispattuwa","Kandy","Central",0.685473315386593
"84","Ganga Ihala Korale","Kandy","Central",0.2348002157041
"85","Giribawa","Kurunegala","North Western",0.00912517539369381
"86","Jaffna","Jaffna","Northern",7.1306918947785
"87","Godakawela","Rathnapura","Sabaragamuwa",0.17750746897749
"88","Hakmana","Matara","Southern",0.264427667856216
"89","Haldummulla","Badulla","Uva",0.0363865022400893
"90","Hali-Ela","Badulla","Uva",0.0987560874927118
"91","Hambantota","Hambantota","Southern",1.47184992428499
"92","Hanguranketha","Nuwara Eliya","Central",0.0892734334926413
"93","Haputale","Badulla","Uva",0.540595274418592
"94","Kalmunai","Ampara","Eastern",5.70560843713822
"95","Hatharaliyadda","Kandy","Central",0.0590091499647028
"96","Hikkaduwa","Galle","Southern",1.41931759585675
"97","Hingurakgoda","Polonnaruwa","North Central",0.0872000998385409
"98","Kalmunai Tamil Division","Ampara","Eastern",3.2078763235699
"99","Kalpitiya","Puttalam","North Western",1.18596635956362
"100","Homagama","Colombo","Western",2.91115828752518
"101","Horana","Kalutara","Western",1.55644009375976
"102","Horowpothana","Anuradhapura","North Central",0.00943376532605699
"103","Ibbagamuwa","Kurunegala","North Western",0.187568174047047
"104","Imaduwa","Galle","Southern",0.539058071775066
"105","Imbulpe","Rathnapura","Sabaragamuwa",0.0999963677857864
"106","Ingiriya","Kalutara","Western",0.866513949699616
"107","Ipalogama","Anuradhapura","North Central",0.0951642236934319
"108","Irakkamam","Ampara","Eastern",0.606444750915235
"109","Island North (Kayts)","Jaffna","Northern",0.585302977798841
"110","Island South (Velanai)","Jaffna","Northern",0.648641989787023
"111","Ja-Ela","Gampaha","Western",5.21806631896455
"112","Kaduwela","Colombo","Western",5.9304305698912
"113","Karainagar","Jaffna","Northern",0.910088383936667
"114","Kahatagasdigiliya","Anuradhapura","North Central",0.0329251360447927
"115","Karaitheevu","Ampara","Eastern",2.40130659250113
"116","Kahawatta","Rathnapura","Sabaragamuwa",0.0772003840608716
"117","Kalawana","Rathnapura","Sabaragamuwa",0.0133681220403673
"118","Kattankudy","Batticaloa","Eastern",7.13433664723447
"119","Kalutara","Kalutara","Western",2.14686026989104
"120","Kamburupitiya","Matara","Southern",0.410243080745281
"121","Kandaketiya","Badulla","Uva",0.0251050142375804
"122","Kandavalai","Kilinochchi","Northern",0.132854101788772
"123","Kandy Four Gravets & Gangawata Korale","Kandy","Central",2.76337389770802
"124","Kanthalai","Trincomalee","Eastern",0.0809007996538033
"125","Karachchi","Kilinochchi","Northern",0.448840303691543
"126","Karandeniya","Galle","Southern",0.555254146063642
"127","Karuwalagaswewa","Puttalam","North Western",0.0325950243399863
"128","Katana","Gampaha","Western",6.09277292410843
"129","Katharagama","Moneragala","Uva",0.0958126528411278
"130","Katuwana","Hambantota","Southern",0.107885049790451
